,imdb_name_id,name,date_of_birth,height,is_actor,race,gender,sexuality
49,nm0396768,Arthur Housman,1889-10-10,,TRUE,,,
50,nm0009931,Jean Acker,1893-10-23,159.0,TRUE,,,
51,nm0694362,Tyrone Power Sr.,1869-05-02,185.0,TRUE,,,
52,nm0709491,Sally Rand,1904-04-03,155.0,TRUE,,,
53,nm0896109,Henry Victor,1892-10-02,188.0,TRUE,White,Male,
54,nm0369793,Phyllis Haver,1899-01-06,164.0,TRUE,,,
55,nm0889511,Victor Varconi,1891-03-31,178.0,TRUE,White,Male,Straight
56,nm0103096,Virginia Bradford,1899-11-07,,TRUE,,,
57,nm0657874,Eugene Pallette,1889-07-08,175.0,TRUE,White,Male,Straight
63,nm0725173,Warner Richmond,1886-01-11,180.0,TRUE,,,
64,nm0055797,T. Roy Barnes,1880-08-11,182.0,TRUE,,,
65,nm0123548,Clarence Burton,1882-05-10,180.0,TRUE,,,
66,nm0269671,Julia Faye,1892-09-24,159.0,TRUE,White,Female,
67,nm0733480,May Robson,1858-04-19,157.0,TRUE,White,Female,Straight
72,nm0427231,Al Jolson,1886-05-26,173.0,TRUE,White,Male,Straight
73,nm0564219,May McAvoy,1899-09-08,150.0,TRUE,,,
74,nm0645941,Warner Oland,1879-10-03,180.0,TRUE,White,Male,Straight
75,nm0078806,Eugenie Besserer,1868-12-25,157.0,TRUE,,,
76,nm0330036,Robert Gordon,1913-08-21,168.0,TRUE,,,
81,nm0875983,Richard Tucker,1884-06-04,182.0,TRUE,White,Male,Straight
82,nm0310980,Janet Gaynor,1906-10-06,152.0,TRUE,White,Female,Straight
88,nm0268190,Charles Farrell,1900-08-09,188.0,TRUE,White,Male,Straight
89,nm0334581,Albert Gran,1862-08-04,,TRUE,,,
90,nm0124877,David Butler,1894-12-17,183.0,TRUE,White,Male,
92,nm0110755,Gladys Brockwell,1894-09-26,,TRUE,,,
93,nm0154352,Emile Chautard,1864-09-07,,TRUE,,,
94,nm0054133,Ben Bard,1893-01-26,180.0,TRUE,,,
95,nm0831889,George E. Stone,1903-05-18,161.0,TRUE,,,
100,nm0051628,George Bancroft,1882-09-30,188.0,TRUE,White,Male,Straight
104,nm0107574,Evelyn Brent,1899-10-20,157.0,TRUE,White,Female,Straight
106,nm0111612,Clive Brook,1887-06-01,180.0,TRUE,White,Male,Straight
107,nm0463264,Fred Kohler,1887-04-20,183.0,TRUE,White,Male,Straight
110,nm0783865,Larry Semon,1889-07-16,170.0,TRUE,,,
111,nm0417837,Emil Jannings,1884-07-23,183.0,TRUE,White,Male,Bisexual
112,nm0001635,William Powell,1892-07-29,180.0,TRUE,White,Male,Straight
120,nm0713281,Jack Raymond,1901-12-14,163.0,TRUE,,,
122,nm0270915,Fritz Feld,1900-10-15,169.0,TRUE,White,Male,Straight
126,nm0874781,Olga Tschechowa,1897-04-26,,TRUE,,,
127,nm0336618,Eve Gray,1900-11-27,,TRUE,,,
128,nm0103113,Jean Bradin,1899-05-30,,TRUE,,,
129,nm0874575,Georges Tréville,1875-07-28,,TRUE,,,
130,nm0895810,Marcel Vibert,1883-11-02,,TRUE,,,
131,nm0689655,Ellen Pollock,1902-06-29,,TRUE,,,
133,nm0001076,Joan Crawford,1904-03-23,160.0,TRUE,White,Female,Bisexual
136,nm0113902,Johnny Mack Brown,1904-09-01,185.0,TRUE,White,Male,Straight
137,nm0039989,Nils Asther,1897-01-17,184.0,TRUE,White,Male,Bisexual
138,nm0780941,Dorothy Sebastian,1903-04-26,160.0,TRUE,,,
139,nm0656105,Anita Page,1910-08-04,157.0,TRUE,White,Female,Straight
140,nm0931031,Kathlyn Williams,1879-05-31,165.0,TRUE,,,
141,nm0637789,Edward J. Nugent,1904-02-07,184.0,TRUE,,,
143,nm0191818,Dorothy Cumming,1894-04-12,170.0,TRUE,,,
144,nm0330265,Huntley Gordon,1887-10-08,183.0,TRUE,,,
145,nm0208659,Sam De Grasse,1875-06-20,179.0,TRUE,,,
146,nm0002183,George Arliss,1868-04-10,170.0,TRUE,White,Male,Straight
147,nm0515967,Doris Lloyd,1896-07-03,,TRUE,White,Female,
149,nm0868456,David Torrence,1864-01-17,185.0,TRUE,,,
152,nm0000910,Joan Bennett,1910-02-27,161.0,TRUE,White,Female,Straight
155,nm0035196,Florence Arliss,1870-07-29,,TRUE,,,
156,nm0124236,Anthony Bushell,1904-05-19,183.0,TRUE,,,
157,nm0392442,Jack Holt,1888-05-31,183.0,TRUE,White,Male,Straight
159,nm0497759,Lila Lee,1901-07-25,174.0,TRUE,White,Female,Straight
160,nm0336339,Ralph Graves,1900-01-23,188.0,TRUE,,,
161,nm0329467,Harold Goodwin,1902-12-01,188.0,TRUE,,,
165,nm0211048,Lya De Putti,1897-01-10,,TRUE,,,
166,nm0361319,Lars Hanson,1886-07-26,178.0,TRUE,,,
167,nm0911914,Warwick Ward,1889-05-05,183.0,TRUE,,,
168,nm0361945,Carl Harbord,1908-01-26,,TRUE,,,
169,nm0337802,Dorothy Green,1920-01-12,,TRUE,,,
170,nm0790454,Norma Shearer,1902-08-10,155.0,TRUE,White,Female,Straight
173,nm0001651,Basil Rathbone,1892-06-13,187.0,TRUE,,,
177,nm0056754,George Barraud,1889-12-17,182.0,TRUE,,,
179,nm0120557,Herbert Bunston,1874-04-15,183.0,TRUE,White,Male,
181,nm0394407,Hedda Hopper,1885-05-02,170.0,TRUE,White,Female,Straight
184,nm0140940,Moon Carroll,1892-10-30,,TRUE,,,
185,nm0149477,Cyril Chadwick,1879-06-11,183.0,TRUE,,,
186,nm0037761,George K. Arthur,1899-01-27,168.0,TRUE,,,
187,nm0000817,Lew Ayres,1908-12-28,177.0,TRUE,White,Male,Straight
193,nm0942046,John Wray,1887-02-13,173.0,TRUE,,,
196,nm0524803,Arnold Lucy,1865-08-08,,TRUE,,,
197,nm0018273,Ben Alexander,1911-05-26,178.0,TRUE,,,
198,nm0464131,Scott Kolk,1905-05-16,,TRUE,,,
199,nm0204113,Owen Davis Jr.,1907-10-06,,TRUE,,,
200,nm0049055,William Bakewell,1908-05-02,181.0,TRUE,White,Male,Straight
202,nm0322345,Russell Gleason,1907-02-06,183.0,TRUE,,,
203,nm0018685,Richard Alexander,1902-11-19,194.0,TRUE,,,
206,nm0838843,Slim Summerville,1892-07-10,189.0,TRUE,White,Male,Straight
207,nm0172318,G. Pat Collins,1895-12-16,183.0,TRUE,,,
208,nm0580240,Beryl Mercer,1876-08-13,150.0,TRUE,,,
211,nm0606431,Chester Morris,1901-02-16,175.0,TRUE,White,Male,Straight
213,nm0000891,Wallace Beery,1885-04-01,182.0,TRUE,White,Male,Straight
216,nm0832011,Lewis Stone,1879-11-15,180.0,TRUE,White,Male,Straight
217,nm0599910,Robert Montgomery,1904-05-21,185.0,TRUE,White,Male,Straight
222,nm0404885,Leila Hyams,1905-05-01,165.0,TRUE,White,Female,Straight
223,nm0547975,George F. Marion,1860-07-16,170.0,TRUE,,,
224,nm0637795,J.C. Nugent,1868-04-06,,TRUE,,,
226,nm0199322,Karl Dane,1886-10-12,192.0,TRUE,,,
227,nm0421138,DeWitt Jennings,1871-06-21,183.0,TRUE,,,
229,nm0079490,Matthew Betz,1881-09-13,183.0,TRUE,,,
230,nm0568282,Claire McDowell,1877-11-02,163.0,TRUE,,,
231,nm0640495,Robert Emmett O'Connor,1885-03-18,,TRUE,,,
234,nm0448366,Tom Kennedy,1885-07-15,189.0,TRUE,White,Male,Straight
237,nm0934232,Tom Wilson,1880-08-27,188.0,TRUE,,,
239,nm0001932,Richard Barthelmess,1895-05-09,175.0,TRUE,White,Male,Straight
240,nm0001195,Douglas Fairbanks Jr.,1909-12-09,185.0,TRUE,,,
242,nm0358076,Neil Hamilton,1899-09-09,180.0,TRUE,White,Male,Straight
244,nm0570451,Frank McHugh,1898-05-23,170.0,TRUE,White,Male,Straight
252,nm0176971,Clyde Cook,1891-12-16,,TRUE,,,
254,nm0278006,James Finlayson,1887-08-27,165.0,TRUE,White,Male,Straight
255,nm0417829,William Janney,1908-02-15,178.0,TRUE,,,
256,nm0107631,Edmund Breon,1882-12-12,,TRUE,,,
259,nm0619261,Conrad Nagel,1897-03-16,183.0,TRUE,White,Male,Straight
260,nm0253158,Florence Eldridge,1901-09-05,164.0,TRUE,,,
262,nm0587725,Helene Millard,1905-09-30,165.0,TRUE,,,
263,nm0254609,Robert Elliott,1879-10-09,187.0,TRUE,,,
266,nm0233390,Mary Doran,1910-09-08,157.0,TRUE,,,
268,nm0780803,Zelda Sears,1873-01-21,,TRUE,,,
269,nm0410271,George Irving,1874-10-05,183.0,TRUE,,,
270,nm0939813,Judith Wood,1906-08-01,161.0,TRUE,,,
271,nm0558629,Dorothy Mathews,1912-02-13,160.0,TRUE,,,
272,nm0417824,Leon Janney,1917-04-01,,TRUE,,,
273,nm0000010,James Cagney,1899-07-17,165.0,TRUE,White,Male,Straight
283,nm0861034,Kenneth Thomson,1899-01-07,183.0,TRUE,,,
284,nm0535006,Noel Madison,1897-04-30,179.0,TRUE,White,Male,Straight
286,nm0437304,Eddie Kane,1889-08-12,,TRUE,,,
287,nm0296859,Dwight Frye,1899-02-22,169.0,TRUE,White,Male,Straight
289,nm0431882,Charles Judels,1882-08-17,,TRUE,,,
292,nm0362267,Ann Harding,1902-08-07,157.0,TRUE,White,Female,Straight
296,nm0000802,Mary Astor,1906-05-03,168.0,TRUE,White,Female,Straight
301,nm0024739,Robert Ames,1889-03-23,178.0,TRUE,,,
302,nm0177599,Hallam Cooley,1895-02-08,183.0,TRUE,,,
303,nm0354878,Creighton Hale,1889-05-24,175.0,TRUE,,,
304,nm0002143,Edward Everett Horton,1886-03-18,183.0,TRUE,White,Male,Gay
308,nm0000034,William Holden,1918-04-17,180.0,TRUE,White,Male,Straight
328,nm0654530,Monroe Owsley,1900-08-11,180.0,TRUE,,,
329,nm0007216,Nancy Carroll,1903-11-19,163.0,TRUE,White,Female,Straight
330,nm0545298,Fredric March,1897-08-31,178.0,TRUE,White,Male,Straight
336,nm0604656,Frank Morgan,1890-06-01,173.0,TRUE,White,Male,Straight
341,nm0026011,Glenn Anders,1889-09-01,,TRUE,White,Male,
342,nm0000064,Edward G. Robinson,1893-12-12,170.0,TRUE,White,Male,Straight
347,nm0268225,Glenda Farrell,1904-06-30,160.0,TRUE,White,Female,Straight
349,nm0171873,William Collier Jr.,1902-02-12,180.0,TRUE,,,
351,nm0085782,Sidney Blackmer,1895-07-13,183.0,TRUE,White,Male,Straight
355,nm0408433,Ralph Ince,1887-01-16,,TRUE,,,
357,nm0414090,Thomas E. Jackson,1886-07-04,,TRUE,,,
359,nm0276354,Stanley Fields,1883-05-20,185.0,TRUE,White,Male,Straight
362,nm0085427,Maurice Black,1891-01-14,,TRUE,,,
368,nm0000795,Jean Arthur,1900-10-17,160.0,TRUE,White,Female,Matter
376,nm0290215,Kay Francis,1905-01-13,175.0,TRUE,White,Female,Bisexual
378,nm0867538,Regis Toomey,1898-08-13,180.0,TRUE,White,Male,Straight
381,nm0070757,Brooks Benedict,1896-02-06,178.0,TRUE,,,
383,nm0045784,Irving Bacon,1893-09-06,183.0,TRUE,White,Male,Straight
391,nm0172903,Ronald Colman,1891-02-09,178.0,TRUE,White,Male,Straight
395,nm0371040,Helen Hayes,1900-10-10,152.0,TRUE,White,Female,Straight
398,nm0071992,Richard Bennett,1870-05-21,179.0,TRUE,,,
402,nm0030653,A.E. Anson,1879-09-14,,TRUE,,,
403,nm0111919,Clarence Brooks,1896-12-23,,TRUE,,,
404,nm0290066,Alec B. Francis,1867-12-02,182.0,TRUE,,,
405,nm0454596,Claude King,1875-01-15,182.0,TRUE,,,
407,nm0729991,Bert Roach,1891-08-21,179.0,TRUE,,,
408,nm0001485,Myrna Loy,1905-08-02,168.0,TRUE,White,Female,Straight
415,nm0394477,Russell Hopton,1900-02-18,180.0,TRUE,,,
417,nm0484439,David Landau,1879-03-09,188.0,TRUE,White,Male,Straight
419,nm0362815,Lumsden Hare,1875-04-27,185.0,TRUE,,,
423,nm0007223,James Dunn,1901-11-02,183.0,TRUE,White,Male,Straight
425,nm0251755,Sally Eilers,1908-12-11,160.0,TRUE,White,Female,Straight
427,nm0326809,Minna Gombell,1892-05-28,,TRUE,,,
431,nm0201227,Frank Darien,1876-03-18,,TRUE,,,
433,nm0269524,William Pawley,1905-07-21,183.0,TRUE,,,
434,nm0280707,Paul Fix,1901-03-13,183.0,TRUE,White,Male,Straight
440,nm0178114,Jackie Cooper,1922-09-15,175.0,TRUE,White,Male,Straight
442,nm0723658,Irene Rich,1891-10-13,168.0,TRUE,White,Female,Straight
443,nm0040374,Roscoe Ates,1895-01-20,170.0,TRUE,,,
445,nm0112395,Edward Brophy,1895-02-27,165.0,TRUE,White,Male,Straight
450,nm0357894,Hale Hamilton,1883-02-28,183.0,TRUE,,,
452,nm0428736,Marcia Mae Jones,1924-08-01,,TRUE,,,
453,nm0228715,Richard Dix,1893-07-18,183.0,TRUE,White,Male,Straight
454,nm0002050,Irene Dunne,1898-12-20,165.0,TRUE,White,Female,Straight
461,nm0852347,Estelle Taylor,1894-05-20,164.0,TRUE,,,
462,nm0642042,Nance O'Neil,1874-10-08,173.0,TRUE,,,
463,nm0574743,Robert McWade,1872-01-25,,TRUE,,,
465,nm0646829,Edna May Oliver,1883-11-09,170.0,TRUE,White,Female,Straight
468,nm0404158,Walter Huston,1883-04-05,183.0,TRUE,White,Male,Straight
475,nm0392004,Phillips Holmes,1907-07-22,183.0,TRUE,White,Male,Gay
477,nm0191870,Constance Cummings,1910-05-15,163.0,TRUE,White,Female,Straight
478,nm0000472,Boris Karloff,1887-11-23,181.0,TRUE,White,Male,Straight
479,nm0907386,Ethel Wales,1878-04-04,166.0,TRUE,,,
480,nm0398446,Arthur Hoyt,1873-03-19,168.0,TRUE,,,
483,nm0820821,John St. Polis,1873-11-24,179.0,TRUE,,,
484,nm0691668,Paul Porcasi,1879-01-01,178.0,TRUE,White,Male,
486,nm0389043,Otto Hoffman,1879-05-02,170.0,TRUE,,,
487,nm0790596,John Sheehan,1885-10-22,173.0,TRUE,,,
488,nm0199841,Bebe Daniels,1901-01-14,157.0,TRUE,White,Female,Straight
489,nm0007220,Ricardo Cortez,1900-09-19,185.0,TRUE,White,Male,Straight
490,nm0226502,Dudley Digges,1879-06-09,,TRUE,,,
492,nm0580916,Una Merkel,1903-12-10,163.0,TRUE,White,Female,Straight
495,nm0865298,Thelma Todd,1906-07-29,163.0,TRUE,White,Female,Straight
496,nm0559059,Otto Matieson,1893-03-27,175.0,TRUE,,,
497,nm0519227,Walter Long,1879-03-05,173.0,TRUE,White,Male,Straight
498,nm0531759,J. Farrell MacDonald,1875-04-14,178.0,TRUE,White,Male,Straight
500,nm0001318,Jean Harlow,1911-03-03,155.0,TRUE,White,Female,Straight
501,nm0940589,Edward Woods,1903-07-05,178.0,TRUE,White,Male,Straight
502,nm0000951,Joan Blondell,1906-08-30,157.0,TRUE,White,Female,Straight
505,nm0007219,Donald Cook,1901-09-26,180.0,TRUE,White,Male,Straight
507,nm0272059,Leslie Fenton,1902-03-12,183.0,TRUE,,,
509,nm0455706,Murray Kinnell,1889-07-24,178.0,TRUE,,,
510,nm0176851,Robert Coogan,1924-12-13,,TRUE,,,
511,nm0338191,Mitzi Green,1920-10-22,,TRUE,,,
512,nm0780684,Jackie Searl,1921-07-07,,TRUE,White,Male,Straight
513,nm0732062,Willard Robertson,1886-01-01,185.0,TRUE,White,Male,
517,nm0071746,Enid Bennett,1893-07-15,160.0,TRUE,,,
518,nm0248890,Helen Jerome Eddy,1897-02-25,170.0,TRUE,,,
519,nm0646851,Guy Oliver,1878-09-25,179.0,TRUE,,,
520,nm1211217,Jack Rube Clifford,1888-12-25,,TRUE,,,
521,nm0460477,Evalyn Knapp,1906-06-17,163.0,TRUE,,,
522,nm0363753,Ralf Harolde,1899-05-17,180.0,TRUE,,,
523,nm0290271,Noel Francis,1906-08-31,165.0,TRUE,,,
524,nm0515272,Margaret Livingston,1895-11-25,160.0,TRUE,White,Female,Straight
525,nm0396633,Billy House,1889-05-07,,TRUE,,,
527,nm0823503,Frances Starr,1886-06-06,,TRUE,,,
528,nm0593372,Grant Mitchell,1874-06-17,175.0,TRUE,White,Male,Straight
535,nm0087434,Sally Blane,1910-07-11,164.0,TRUE,White,Female,Straight
536,nm0601129,Dickie Moore,1925-09-12,,TRUE,White,Male,Straight
539,nm0671738,Nat Pendleton,1895-08-09,183.0,TRUE,White,Male,Straight
543,nm0259638,George Ernest,1921-11-20,,TRUE,,,
544,nm0757925,Charles 'Chic' Sale,1885-08-25,,TRUE,,,
545,nm0394244,Miriam Hopkins,1902-10-18,156.0,TRUE,White,Female,Straight
547,nm0387556,Rose Hobart,1906-05-01,164.0,TRUE,White,Female,Straight
548,nm0378555,Holmes Herbert,1882-07-30,183.0,TRUE,,,
551,nm0387561,Halliwell Hobbes,1877-11-16,174.0,TRUE,White,Male,Straight
558,nm0683114,Tempe Pigott,1884-02-02,,TRUE,,,
559,nm0317224,Wynne Gibson,1898-07-03,157.0,TRUE,White,Female,Straight
561,nm0823633,Charles Starrett,1903-03-28,188.0,TRUE,White,Male,Straight
562,nm0322299,James Gleason,1882-05-23,173.0,TRUE,White,Male,Straight
567,nm0000078,John Wayne,1907-05-26,193.0,TRUE,White,Male,Straight
575,nm0908797,Morgan Wallace,1881-07-26,182.0,TRUE,,,
577,nm0356620,William Halligan,1883-03-29,,TRUE,,,
578,nm0125432,Billy Butts,1918-09-18,,TRUE,,,
579,nm0174049,Joyce Compton,1907-01-27,165.0,TRUE,White,Female,Straight
581,nm0335788,Charley Grapewin,1869-12-20,171.0,TRUE,White,Male,Straight
584,nm0446593,Lew Kelly,1879-08-24,,TRUE,,,
585,nm0768514,Syd Saylor,1895-03-24,179.0,TRUE,,,
586,nm0533108,Dorothy Mackaill,1903-03-04,165.0,TRUE,White,Female,Straight
587,nm0000007,Humphrey Bogart,1899-12-25,173.0,TRUE,White,Male,Straight
598,nm0021667,Astrid Allwyn,1905-11-27,,TRUE,White,Female,Straight
601,nm0656118,Bradley Page,1901-09-08,,TRUE,,,
603,nm0502571,Barbara Leonard,1908-01-09,159.0,TRUE,,,
604,nm0591409,Harold Minjir,1895-10-05,,TRUE,,,
605,nm0533956,Aline MacMahon,1899-05-03,173.0,TRUE,White,Female,Straight
608,nm0405220,Warren Hymer,1906-02-25,183.0,TRUE,,,
610,nm0123579,Frederick Burton,1871-10-20,184.0,TRUE,,,
611,nm0000856,Ethel Barrymore,1879-08-15,170.0,TRUE,White,Female,Straight
612,nm0000859,Lionel Barrymore,1878-04-28,183.0,TRUE,White,Male,Straight
617,nm0604960,Ralph Morgan,1883-07-06,,TRUE,White,Male,Straight
619,nm0018769,Tad Alexander,1922-08-07,,TRUE,,,
620,nm0944087,Diana Wynyard,1906-01-16,168.0,TRUE,White,Female,Straight
622,nm0330059,C. Henry Gordon,1884-06-17,180.0,TRUE,White,Male,Straight
624,nm0036427,Edward Arnold,1890-02-18,178.0,TRUE,White,Male,Straight
629,nm0000909,Constance Bennett,1904-10-22,163.0,TRUE,White,Female,Straight
631,nm0792514,Lowell Sherman,1888-10-11,178.0,TRUE,,,
632,nm0711855,Gregory Ratoff,1897-04-20,,TRUE,White,Male,Straight
633,nm0064792,Louise Beavers,1902-03-08,163.0,TRUE,Black,Female,Straight
638,nm0929925,Warren William,1894-12-02,185.0,TRUE,White,Male,Straight
640,nm0452128,Guy Kibbee,1886-03-06,,TRUE,White,Male,Straight
643,nm0817021,Ned Sparks,1883-11-19,175.0,TRUE,White,Male,Straight
644,nm0175369,Walter Connolly,1887-04-08,175.0,TRUE,White,Male,Straight
646,nm0662335,Jean Parker,1915-08-11,160.0,TRUE,White,Female,Straight
649,nm0636161,Barry Norton,1905-06-16,180.0,TRUE,,,
650,nm0098376,Hobart Bosworth,1867-08-11,183.0,TRUE,,,
651,nm0000031,Katharine Hepburn,1907-05-12,172.0,TRUE,White,Female,Bisexual
662,nm0510134,Paul Lukas,1895-05-26,187.0,TRUE,White,Male,Straight
665,nm0214168,Frances Dee,1909-11-26,164.0,TRUE,White,Female,Straight
667,nm0827261,Henry Stephenson,1871-04-16,188.0,TRUE,White,Male,Straight
672,nm0599766,Douglass Montgomery,1907-10-29,182.0,TRUE,,,
673,nm0517099,John Lodge,1903-10-20,185.0,TRUE,,,
675,nm0001981,Spring Byington,1886-10-17,160.0,TRUE,White,Female,Bisexual
683,nm0385594,Samuel S. Hinds,1875-04-04,,TRUE,White,Male,Straight
686,nm0050923,Marion Ballou,1870-10-17,,TRUE,,,
687,nm0922851,Nydia Westman,1902-02-19,,TRUE,,,
689,nm0046368,Max Baer,1909-02-11,193.0,TRUE,White,Male,Straight
690,nm0138712,Primo Carnera,1906-10-26,202.0,TRUE,,,
691,nm0218727,Jack Dempsey,1895-06-24,185.0,TRUE,White,Male,Straight
692,nm0472603,Otto Kruger,1885-09-06,175.0,TRUE,White,Male,Straight
696,nm0055998,Vince Barnett,1902-07-04,168.0,TRUE,,,
698,nm0263088,Muriel Evans,1910-07-20,165.0,TRUE,,,
701,nm0737259,Will Rogers,1879-11-04,180.0,TRUE,White,Male,Straight
703,nm0287988,Norman Foster,1903-12-13,180.0,TRUE,White,Male,Straight
704,nm0237571,Louise Dresser,1878-10-05,170.0,TRUE,,,
705,nm0186600,Frank Craven,1875-08-24,174.0,TRUE,,,
706,nm0430460,Victor Jory,1902-11-23,187.0,TRUE,White,Male,Straight
709,nm0578389,Frank Melton,1907-12-06,183.0,TRUE,,,
710,nm0092900,John Boles,1895-10-27,183.0,TRUE,White,Male,Straight
711,nm0041172,Lionel Atwill,1885-03-01,179.0,TRUE,White,Male,Straight
713,nm0922818,Helen Westley,1875-03-28,,TRUE,White,Female,Straight
717,nm0187711,Laura Hope Crews,1879-12-12,164.0,TRUE,,,
718,nm0370833,Julie Haydon,1910-06-10,164.0,TRUE,,,
720,nm0175583,Theresa Maxwell Conover,1884-09-26,,TRUE,,,
721,nm0000897,Ralph Bellamy,1904-06-17,188.0,TRUE,White,Male,Straight
727,nm0172875,June Collyer,1904-08-19,165.0,TRUE,White,Female,Straight
728,nm0319257,Claude Gillingwater,1870-08-02,188.0,TRUE,,,
729,nm0090029,Betty Blythe,1893-09-01,171.0,TRUE,,,
730,nm0682734,Arthur Pierson,1901-06-16,179.0,TRUE,,,
731,nm0178049,George Cooper,1892-12-12,177.0,TRUE,,,
732,nm0003277,Joseph Crehan,1883-07-15,,TRUE,,,
734,nm0001055,Claudette Colbert,1903-09-13,164.0,TRUE,White,Female,Straight
738,nm0928295,Henry Wilcoxon,1905-09-08,191.0,TRUE,White,Male,Straight
741,nm0771584,Joseph Schildkraut,1896-03-22,178.0,TRUE,White,Male,Straight
744,nm0445246,Ian Keith,1899-02-27,185.0,TRUE,White,Male,Straight
745,nm0584119,Gertrude Michael,1911-06-01,165.0,TRUE,,,
747,nm0807580,C. Aubrey Smith,1863-07-21,188.0,TRUE,White,Male,Straight
753,nm0681635,Irving Pichel,1891-06-24,183.0,TRUE,White,Male,Straight
754,nm0389824,Arthur Hohl,1889-05-21,188.0,TRUE,White,Male,
755,nm0561693,Edwin Maxwell,1886-02-09,,TRUE,,,
760,nm0533705,Ian Maclaren,1875-05-01,184.0,TRUE,,,
761,nm0610950,Leonard Mudie,1883-04-11,,TRUE,,,
762,nm0332036,Ferdinand Gottschalk,1858-02-28,,TRUE,,,
765,nm0401434,Henry Hull,1890-10-03,183.0,TRUE,White,Male,Straight
769,nm0943553,Jane Wyatt,1910-08-12,163.0,TRUE,White,Female,Straight
772,nm0715427,Florence Reed,1883-01-10,,TRUE,,,
773,nm0002118,Alan Hale,1892-02-10,188.0,TRUE,,,
778,nm0653188,Rafaela Ottiano,1888-03-04,166.0,TRUE,,,
781,nm0838066,Francis L. Sullivan,1903-01-06,175.0,TRUE,White,Male,Straight
784,nm0367516,Forrester Harvey,1884-06-27,165.0,TRUE,,,
787,nm0106423,George P. Breakston,1920-01-22,,TRUE,,,
788,nm0179591,Harry Cording,1891-04-26,183.0,TRUE,,,
789,nm0001577,Maureen O'Sullivan,1911-05-17,160.0,TRUE,White,Female,Straight
792,nm0666201,Elizabeth Patterson,1875-11-22,159.0,TRUE,,,
795,nm0001682,Mickey Rooney,1920-09-23,157.0,TRUE,White,Male,Straight
803,nm0035455,Henry Armetta,1888-07-04,,TRUE,White,Male,
805,nm0082884,Herman Bing,1889-03-30,,TRUE,White,Male,
806,nm0377909,Louise Henry,1911-06-14,163.0,TRUE,,,
807,nm0399346,Harold Huber,1909-12-05,,TRUE,,,
811,nm0392669,Tenen Holtz,1887-02-17,,TRUE,,,
812,nm0000022,Clark Gable,1901-02-01,185.0,TRUE,White,Male,Straight
819,nm0439850,Roscoe Karns,1891-09-07,178.0,TRUE,White,Male,Straight
821,nm0858977,Jameson Thomas,1888-03-24,182.0,TRUE,White,Male,Straight
824,nm0002768,Blanche Friderici,1878-01-21,166.0,TRUE,,,
825,nm0933161,Charles C. Wilson,1894-07-29,183.0,TRUE,,,
826,nm0140504,Leo Carrillo,1881-08-06,178.0,TRUE,Hispanic,Male,Straight
830,nm0796644,George Sidney,1876-03-18,160.0,TRUE,White,Male,Straight
832,nm0422436,Isabel Jewell,1907-07-19,150.0,TRUE,,,
