,imdb_name_id,name,date_of_birth,height,is_actor,race,gender,sexuality
7599,nm0130794,Corinne Calvet,1925-04-30,165.0,True,,,
7600,nm0870109,Colleen Townsend,1928-12-21,,True,,,
7601,nm0527996,Jimmy Lydon,1923-05-30,,True,White,Male,Straight
7602,nm0180987,Lloyd Corrigan,1900-10-16,168.0,True,White,Male,
7603,nm0593850,John Mitchum,1919-09-06,180.0,True,,,
7604,nm0681608,Paul Picerni,1922-12-01,175.0,True,White,Male,Straight
7605,nm0001627,Sidney Poitier,1927-02-20,189.0,True,Black,Male,Straight
7611,nm0605923,Robert Morley,1908-05-26,184.0,True,White,Male,Straight
7613,nm0331770,Walter Gotell,1924-03-15,188.0,True,White,Male,Straight
7614,nm0549424,Richard Marner,1921-03-27,,True,,,
7615,nm0001375,Kim Hunter,1922-11-12,161.0,True,White,Female,Straight
7616,nm0219528,Nick Dennis,1904-04-26,,True,,,
7618,nm0455389,Wright King,1923-01-11,180.0,True,White,Male,Straight
7620,nm0105462,Keefe Brasselle,1923-02-07,,True,White,Male,Straight
7621,nm0000994,Raymond Burr,1917-05-21,187.0,True,White,Male,Gay
7623,nm0382229,Herbert Heyes,1889-08-03,185.0,True,,,
7625,nm0408586,Frieda Inescort,1901-06-29,,True,,,
7627,nm0761340,Walter Sande,1906-07-09,169.0,True,White,Male,
7629,nm0534317,George Macready,1899-08-29,185.0,True,White,Male,Straight
7630,nm0573024,Horace McMahon,1906-05-17,180.0,True,White,Male,Straight
7632,nm0384154,Craig Hill,1926-03-05,,True,White,Male,Straight
7633,nm0835021,Michael Strong,1918-02-08,179.0,True,,,
7635,nm0293099,Bert Freed,1919-11-03,178.0,True,White,Male,Straight
7638,nm0000037,Gene Kelly,1912-08-23,173.0,True,White,Male,Straight
7641,nm0505157,Oscar Levant,1906-12-27,,True,White,Male,Straight
7643,nm0350250,Georges Guétary,1915-02-08,,True,,,
7644,nm0821041,Robert Stack,1919-01-13,183.0,True,White,Male,Straight
7645,nm0656226,Joy Page,1924-11-09,165.0,True,,,
7646,nm0738042,Gilbert Roland,1905-12-11,178.0,True,Hispanic,Male,Straight
7648,nm0340706,Virginia Grey,1917-03-22,165.0,True,White,Female,Straight
7649,nm0399192,John Hubbard,1914-04-14,,True,White,Male,Straight
7650,nm0432827,Katy Jurado,1924-01-16,168.0,True,,,
7653,nm3440218,Luis Briones,,,True,,,
7654,nm0581282,Gary Merrill,1915-08-02,173.0,True,White,Male,Straight
7655,nm0001374,Jeffrey Hunter,1926-11-25,183.0,True,White,Male,Straight
7656,nm0828838,Warren Stevens,1919-11-02,173.0,True,White,Male,Straight
7658,nm0501183,Harvey Lembeck,1923-04-15,168.0,True,White,Male,Straight
